regime,method,seed,system,sd_nmae,sd_nrmse
loso,tggc,17,pmsm,0.28213043529851156,0.41196746244548366
loso,tggc,17,steel_industry,0.5372248310827059,0.8194891437970515
loso,tggc,29,building_energy,0.5497593530078034,0.7216178043803525
loso,tggc,29,hydraulic,40.98308530539534,42.80100393175278
loso,tggc,29,metropt,0.9523481267922804,5.36142393058582
loso,tggc,29,pmsm,0.3483121288486019,0.41235950805102123
loso,tggc,29,steel_industry,0.7581132055567288,0.9395444113409577
loso,tggc,43,building_energy,0.8008140306897058,1.1890305624205089
loso,tggc,43,hydraulic,3.1129199988926572,3.834256651798705
loso,tggc,43,metropt,1.1123126384664304,7.697886414542867
loso,tggc,43,pmsm,0.2291821265237117,0.317552370644502
loso,tggc,43,steel_industry,0.7476768590560526,0.9707258275168453
loso,tggc,71,building_energy,1.4464086191209153,2.0586814243489404
loso,tggc,71,hydraulic,16.69624234985399,17.986307008328822
loso,tggc,71,metropt,1.181590935899645,3.958063923912763
loso,tggc,71,pmsm,0.14372850424866634,0.2116298336242264
loso,tggc,71,steel_industry,0.5298540371547495,0.8289894761129073
loso,tggc,101,building_energy,1.6406628101343208,2.5882536711361106
loso,tggc,101,hydraulic,35.23079315320991,36.61250014087971
loso,tggc,101,metropt,1.4475570728830978,6.757252355376336
loso,tggc,101,pmsm,0.24985807945742874,0.3481475386738857
loso,tggc,101,steel_industry,0.7608319397276283,0.9309633007214076
loso,gtm_gaugeformer,17,building_energy,0.3457093760220053,0.5067552231711635
loso,gtm_gaugeformer,17,hydraulic,0.19629914214511548,0.2633382628403931
loso,gtm_gaugeformer,17,metropt,0.5897790617751874,1.1808630053459108
loso,gtm_gaugeformer,17,pmsm,0.05506923082834634,0.14070716262136354
loso,gtm_gaugeformer,17,steel_industry,0.48643982338943764,0.8383948390125603
loso,gtm_gaugeformer,29,building_energy,0.33232645073410744,0.49187769177591895
loso,gtm_gaugeformer,29,hydraulic,0.20002604541813196,0.27224191745538334
loso,gtm_gaugeformer,29,metropt,0.5660519177945293,1.167311345702441
loso,gtm_gaugeformer,29,pmsm,0.055440512665716334,0.14196819354495718
loso,gtm_gaugeformer,29,steel_industry,0.4844790041340669,0.8372280984189299
loso,gtm_gaugeformer,43,building_energy,0.34802594590867664,0.5053998968834024
loso,gtm_gaugeformer,43,hydraulic,0.14153191956596686,0.23385192887424056
loso,gtm_gaugeformer,43,metropt,0.5808303000975059,1.1734138895261965
loso,gtm_gaugeformer,43,pmsm,0.055768328452355964,0.1421085423285314
loso,gtm_gaugeformer,43,steel_industry,0.4927955967984218,0.8438427784740451
loso,gtm_gaugeformer,71,building_energy,0.3366386621153873,0.4948973211246979
loso,gtm_gaugeformer,71,hydraulic,0.17868999338224617,0.25850711995688863
loso,gtm_gaugeformer,71,metropt,0.5651681619322922,1.1658435114514363
loso,gtm_gaugeformer,71,pmsm,0.05548624716472799,0.14174160656564624
loso,gtm_gaugeformer,71,steel_industry,0.48029419948835717,0.834847133189745
loso,gtm_gaugeformer,101,building_energy,0.3477660595039505,0.5068152966539116
loso,gtm_gaugeformer,101,hydraulic,0.1481465853127426,0.24148833063048222
loso,gtm_gaugeformer,101,metropt,0.5898417869094074,1.1869317771646415
loso,gtm_gaugeformer,101,pmsm,0.056726173534722195,0.14358574094501234
loso,gtm_gaugeformer,101,steel_industry,0.48203978414696635,0.8279755619389411
fewshot_0.01,moirai,17,building_energy,0.2515218338050873,0.4233166325900378
fewshot_0.01,moirai,17,hydraulic,0.11027559875198233,0.20729442933222267
fewshot_0.01,moirai,17,metropt,0.47827215857831035,1.1938067830837866
fewshot_0.01,moirai,17,pmsm,0.04632784071436763,0.1305841070030971
fewshot_0.01,moirai,17,steel_industry,0.4709978768549724,0.8821669784142744
fewshot_0.01,moirai,29,building_energy,0.2508575878793683,0.4217861667693501
fewshot_0.01,moirai,29,hydraulic,0.11056089550749237,0.2074537819781337
fewshot_0.01,moirai,29,metropt,0.47903586643069845,1.1940105861353152
fewshot_0.01,moirai,29,pmsm,0.046271815202771634,0.13048769522830475
fewshot_0.01,moirai,29,steel_industry,0.4713109317667654,0.8842353925699147
fewshot_0.01,moirai,43,building_energy,0.25051634816290674,0.42156925171474696
fewshot_0.01,moirai,43,hydraulic,0.11014432444169385,0.20707763408366164
fewshot_0.01,moirai,43,metropt,0.4779113582391331,1.1922723685226433
fewshot_0.01,moirai,43,pmsm,0.046249526193092035,0.13033860403565833
fewshot_0.01,moirai,43,steel_industry,0.47158619815352754,0.8832694890061358
fewshot_0.01,moirai,71,building_energy,0.2504314153383297,0.42145164386025663
fewshot_0.01,moirai,71,hydraulic,0.11017469581880995,0.20718005759910135
fewshot_0.01,moirai,71,metropt,0.4799984447933023,1.1927630362272033
fewshot_0.01,moirai,71,pmsm,0.04628330634630928,0.13038792699102375
