backbone,variant,seed,system,condition,replicate,sd_nmae,sd_nrmse,mae_relative_change,mean_sd_normalized_prediction_change,no_op_deletion
gtm,full,17,hydraulic,legal_gauge_canonical_preprocessing,rep0,0.07137685870431831,0.13211466112112574,-5.6518229973878675e-05,6.863933466568171e-07,False
gtm,raw,17,hydraulic,permutation,rep0,0.057445186682621614,0.10895818599374328,0.0,0.0,False
gtm,full,17,hydraulic,permutation,rep0,0.07137689904527826,0.13211471694170782,0.0,0.0,False
gtm,raw,17,hydraulic,deletion_30,rep0,0.057445186682621614,0.10895818599374328,0.0,0.0,True
gtm,full,17,hydraulic,deletion_30,rep0,0.07137689904527826,0.13211471694170782,0.0,0.0,True
gtm,raw,17,hydraulic,deletion_50,rep0,0.057445186682621614,0.10895818599374328,0.0,0.0,True
gtm,full,17,hydraulic,deletion_50,rep0,0.07137689904527826,0.13211471694170782,0.0,0.0,True
gtm,raw,17,hydraulic,insertion_1,rep0,0.057445186682621614,0.10895818599374328,0.0,0.0,False
gtm,full,17,hydraulic,insertion_1,rep0,0.07137689904527826,0.13211471694170782,0.0,0.0,False
gtm,raw,17,hydraulic,insertion_4,rep0,0.057445186682621614,0.10895818599374328,0.0,0.0,False
gtm,full,17,hydraulic,insertion_4,rep0,0.07137689904527826,0.13211471694170782,0.0,0.0,False
gtm,raw,17,hydraulic,permutation,rep1,0.057445186682621614,0.10895818599374328,0.0,0.0,False
gtm,full,17,hydraulic,permutation,rep1,0.07137689904527826,0.13211471694170782,0.0,0.0,False
gtm,raw,17,hydraulic,deletion_30,rep1,0.057445186682621614,0.10895818599374328,0.0,0.0,True
gtm,full,17,hydraulic,deletion_30,rep1,0.07137689904527826,0.13211471694170782,0.0,0.0,True
gtm,raw,17,hydraulic,deletion_50,rep1,0.057445186682621614,0.10895818599374328,0.0,0.0,True
gtm,full,17,hydraulic,deletion_50,rep1,0.07137689904527826,0.13211471694170782,0.0,0.0,True
gtm,raw,17,hydraulic,insertion_1,rep1,0.057445186682621614,0.10895818599374328,0.0,0.0,False
gtm,full,17,hydraulic,insertion_1,rep1,0.07137689904527826,0.13211471694170782,0.0,0.0,False
gtm,raw,17,hydraulic,insertion_4,rep1,0.057445186682621614,0.10895818599374328,0.0,0.0,False
gtm,full,17,hydraulic,insertion_4,rep1,0.07137689904527826,0.13211471694170782,0.0,0.0,False
gtm,raw,17,hydraulic,permutation,rep2,0.057445186682621614,0.10895818599374328,0.0,0.0,False
