system,seed,method,step,sd_nmae
building_energy,43,gaugeformer_v13,5,0.13658608159165292
building_energy,43,gaugeformer_v13,6,0.15144203890880448
building_energy,43,gaugeformer_v13,7,0.17057516004686135
building_energy,43,gaugeformer_v13,8,0.18705655289416745
building_energy,43,gaugeformer_v13,9,0.21179423283592025
building_energy,43,gaugeformer_v13,10,0.23208910341392497
building_energy,43,gaugeformer_v13,11,0.24483203911247495
building_energy,43,gaugeformer_v13,12,0.25262920137834705
building_energy,43,gaugeformer_v13,13,0.26387411263184696
building_energy,43,gaugeformer_v13,14,0.2777197799239861
building_energy,43,gaugeformer_v13,15,0.29007952306259976
building_energy,43,gaugeformer_v13,16,0.3026390538782276
building_energy,43,gaugeformer_v13,17,0.32257812503244526
building_energy,43,gaugeformer_v13,18,0.33501103297268414
building_energy,43,gaugeformer_v13,19,0.34382420836242183
building_energy,43,gaugeformer_v13,20,0.3570556313445669
building_energy,43,gaugeformer_v13,21,0.3708156972213245
building_energy,43,gaugeformer_v13,22,0.3873608751963398
building_energy,43,gaugeformer_v13,23,0.40359112503768896
building_energy,43,gaugeformer_v13,24,0.4153199491104901
building_energy,43,blend_persistence,1,0.03996537978349269
building_energy,43,blend_persistence,2,0.0681369011841087
building_energy,43,blend_persistence,3,0.09515990093182078
building_energy,43,blend_persistence,4,0.11947747443344686
building_energy,43,blend_persistence,5,0.14494469190438117
building_energy,43,blend_persistence,6,0.16161307586663495
building_energy,43,blend_persistence,7,0.18024772808680187
building_energy,43,blend_persistence,8,0.19697388846910666
building_energy,43,blend_persistence,9,0.222707724198213
building_energy,43,blend_persistence,10,0.24318631450892295
building_energy,43,blend_persistence,11,0.2582878661054329
building_energy,43,blend_persistence,12,0.26657823315428264
building_energy,43,blend_persistence,13,0.27842937006453894
building_energy,43,blend_persistence,14,0.2918563204013684
building_energy,43,blend_persistence,15,0.30486664016937237
building_energy,43,blend_persistence,16,0.3172378639486945
building_energy,43,blend_persistence,17,0.3361880698127276
building_energy,43,blend_persistence,18,0.34594894902352546
building_energy,43,blend_persistence,19,0.35570198094744715
building_energy,43,blend_persistence,20,0.3690159631754366
building_energy,43,blend_persistence,21,0.3838279224141046
