method,backbone,system,batch_size,median_ms,mean_ms,p95_ms,windows_per_second,resident_allocated_mib,total_peak_allocated_mib,incremental_peak_allocated_mib,peak_reserved_mib,backbone_calls_per_window,gpu_uuid,exclusive_checks_before_and_after_every_measurement
tefn,tefn,pmsm,8,2.822069509420544,2.9949605464935303,4.117948416387665,2671.1537183240425,8.20849609375,8.892578125,0.68408203125,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,steel_industry,1,3.444049507379532,3.2888361485674977,3.9419649983756244,304.05892991524223,8.1748046875,8.26171875,0.0869140625,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,steel_industry,8,3.6157069844193757,3.390924498671666,4.342386874486692,2359.2386097460612,8.19091796875,8.857421875,0.66650390625,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,building_energy,1,4.973120026988909,4.881757262046449,5.666165516595356,204.84426945488818,12.2705078125,20.39306640625,8.12255859375,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,building_energy,8,17.951349494978786,17.948689401964657,19.608664608676918,445.7149946070337,12.3369140625,20.54296875,8.2060546875,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,hydraulic,1,5.115261970786378,4.965094738872722,5.890137975802645,201.40602598592926,12.26708984375,20.38623046875,8.119140625,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,hydraulic,8,18.082402471918613,18.001511695911177,19.280846283072606,444.4071217539526,12.310546875,20.48681640625,8.17626953125,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,metropt,1,5.5305775022134185,5.381177755771205,6.443957443116234,185.8329245726031,12.26611328125,20.38427734375,8.1181640625,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,metropt,8,17.950097972061485,18.198389749159105,19.91344748530537,439.59933325252894,12.3017578125,20.4658203125,8.1640625,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,pmsm,1,5.272860493278131,5.450254303286783,6.433457366074436,183.477677252041,12.26513671875,20.38232421875,8.1171875,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,pmsm,8,17.478890484198928,17.623372355592437,18.74839583761059,453.94263019480235,12.2958984375,20.4541015625,8.158203125,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,steel_industry,1,4.978320008376613,4.984252556459978,5.7776534027652815,200.63188786529733,12.26318359375,20.37841796875,8.115234375,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tggc,tggc,steel_industry,8,18.19880396942608,18.383240490220487,20.02638249832671,435.178988397385,12.2783203125,20.41552734375,8.13720703125,26.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,building_energy,1,10.014873987529427,9.878229201422073,10.773568548029289,101.23271890229474,265.63916015625,270.3720703125,4.73291015625,284.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,building_energy,1,63.26363098924048,65.39403269998729,86.08840777887963,15.291915159717536,265.63916015625,270.3916015625,4.75244140625,284.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,building_energy,8,21.458684001117945,21.25303246139083,22.82696863694582,376.41687201735294,265.70556640625,273.83837890625,8.1328125,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,building_energy,8,83.26933000353165,89.59473674476612,108.82727302378044,89.29095938738097,265.70556640625,273.99072265625,8.28515625,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,hydraulic,1,17.04947100370191,17.018388040014543,19.099457701668143,58.75997172286509,265.6357421875,268.2412109375,2.60546875,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,hydraulic,1,83.27754749916494,84.61420685634948,91.01688757655212,11.818346317394566,265.6357421875,268.25537109375,2.61962890625,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,hydraulic,8,20.750017545651644,21.162507808185183,23.68504606129136,378.027031224805,265.67919921875,270.8505859375,5.17138671875,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,hydraulic,8,80.17544649192132,83.72362255176995,106.0011049703462,95.55248275423406,265.67919921875,270.951171875,5.27197265625,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,metropt,1,16.59227500203997,16.66625399957411,17.357906384859234,60.00148563831765,265.634765625,267.78125,2.146484375,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
