regime,system,seed,block,elements_per_channel,gaugeformer_v13,moirai,gain
few1,building_energy,101,building_energy:segment-0:day-124,144,0.23263153986343935,0.24062604596668194,0.007994506103242593
few1,building_energy,101,building_energy:segment-0:day-125,144,0.2530445384628281,0.28039810483968347,0.027353566376855376
few1,building_energy,101,building_energy:segment-0:day-126,144,0.2337024936203925,0.22802824727536783,-0.005674246345024669
few1,building_energy,101,building_energy:segment-0:day-127,144,0.2855756130950189,0.28407580923883446,-0.001499803856184423
few1,building_energy,101,building_energy:segment-0:day-128,144,0.20355221228019138,0.20119178962712997,-0.0023604226530614114
few1,building_energy,101,building_energy:segment-0:day-129,144,0.23723469434866604,0.24788961137878862,0.010654917030122585
few1,building_energy,101,building_energy:segment-0:day-130,144,0.2271439620713268,0.2294627788570767,0.002318816785749883
few1,building_energy,101,building_energy:segment-0:day-131,144,0.1683851142920558,0.1648619915589372,-0.003523122733118611
few1,building_energy,101,building_energy:segment-0:day-132,144,0.20738466240642,0.2228472783623818,0.015462615955961795
few1,building_energy,101,building_energy:segment-0:day-133,144,0.22263025668370165,0.23060468005753446,0.007974423373832806
few1,building_energy,101,building_energy:segment-0:day-134,144,0.29199884979066565,0.3037911881825883,0.011792338391922674
few1,building_energy,101,building_energy:segment-0:day-135,144,0.27929034882900977,0.2729588090299122,-0.006331539799097563
few1,building_energy,101,building_energy:segment-0:day-136,120,0.30264048959936257,0.3027353284203107,9.483882094812879e-05
few1,hydraulic,17,hydraulic:segment-1764:day-0,24,0.11016376178590973,0.11016376178590973,0.0
few1,hydraulic,17,hydraulic:segment-1765:day-0,24,0.10825269871556083,0.10825269871556083,0.0
few1,hydraulic,17,hydraulic:segment-1766:day-0,24,0.10683347142095127,0.10683347142095127,0.0
few1,hydraulic,17,hydraulic:segment-1767:day-0,24,0.11090366916081199,0.11090366916081199,0.0
few1,hydraulic,17,hydraulic:segment-1768:day-0,24,0.1080037848758455,0.1080037848758455,0.0
few1,hydraulic,17,hydraulic:segment-1769:day-0,24,0.11038021284855115,0.11038021284855115,0.0
few1,hydraulic,17,hydraulic:segment-1770:day-0,24,0.10126198404342199,0.10126198404342199,0.0
few1,hydraulic,17,hydraulic:segment-1771:day-0,24,0.10395213060448982,0.10395213060448982,0.0
few1,hydraulic,17,hydraulic:segment-1772:day-0,24,0.10526215958964301,0.10526215958964301,0.0
few1,hydraulic,17,hydraulic:segment-1773:day-0,24,0.10213200279501736,0.10213200279501736,0.0
few1,hydraulic,17,hydraulic:segment-1774:day-0,24,0.10747953516867759,0.10747953516867759,0.0
few1,hydraulic,17,hydraulic:segment-1775:day-0,24,0.1175629950986747,0.1175629950986747,0.0
few1,hydraulic,17,hydraulic:segment-1776:day-0,24,0.10946192181509784,0.10946192181509784,0.0
few1,hydraulic,17,hydraulic:segment-1777:day-0,24,0.10760713989073989,0.10760713989073989,0.0
few1,hydraulic,17,hydraulic:segment-1778:day-0,24,0.1137658123686573,0.1137658123686573,0.0
few1,hydraulic,17,hydraulic:segment-1779:day-0,24,0.1067069739926494,0.11030240148372171,0.003595427491072306
few1,hydraulic,17,hydraulic:segment-1780:day-0,24,0.10611599027274937,0.1105294543191631,0.004413464046413726
few1,hydraulic,17,hydraulic:segment-1781:day-0,24,0.1049620327190186,0.10880619983445473,0.0038441671154361284
few1,hydraulic,17,hydraulic:segment-1782:day-0,24,0.10495724848403352,0.10866246432320785,0.003705215839174325
few1,hydraulic,17,hydraulic:segment-1783:day-0,24,0.09790373452103181,0.10238870593700272,0.004484971415970915
few1,hydraulic,17,hydraulic:segment-1784:day-0,24,0.10045879149945464,0.10377698010920976,0.003318188609755121
few1,hydraulic,17,hydraulic:segment-1785:day-0,24,0.110050936243075,0.11299513063416734,0.0029441943910923363
few1,hydraulic,17,hydraulic:segment-1786:day-0,24,0.10750008517543364,0.11103237037380058,0.003532285198366944
few1,hydraulic,17,hydraulic:segment-1787:day-0,24,0.09569321054649589,0.09978105942636312,0.004087848879867226
few1,hydraulic,17,hydraulic:segment-1788:day-0,24,0.10548631874710712,0.10995484134371603,0.004468522596608904
few1,hydraulic,17,hydraulic:segment-1789:day-0,24,0.0960198019177894,0.0991182868230931,0.0030984849053036917
few1,hydraulic,17,hydraulic:segment-1790:day-0,24,0.10646226057774096,0.11083087189236847,0.004368611314627513
few1,hydraulic,17,hydraulic:segment-1791:day-0,24,0.11143582599260415,0.11605529238104861,0.00461946638844446
few1,hydraulic,17,hydraulic:segment-1792:day-0,24,0.10435286821598953,0.10861171150835199,0.004258843292362452
few1,hydraulic,17,hydraulic:segment-1793:day-0,24,0.10488781451739196,0.10941419000208416,0.004526375484692202
few1,hydraulic,17,hydraulic:segment-1794:day-0,24,0.09968539906528893,0.1031618293559764,0.003476430290687463
few1,hydraulic,17,hydraulic:segment-1795:day-0,24,0.10918301781905808,0.11373408420854308,0.004551066389485006
few1,hydraulic,17,hydraulic:segment-1796:day-0,24,0.10944013929242925,0.1125532541799556,0.0031131148875263442
few1,hydraulic,17,hydraulic:segment-1797:day-0,24,0.10791167450362386,0.11194799568225641,0.004036321178632549
few1,hydraulic,17,hydraulic:segment-1798:day-0,24,0.10829429439885156,0.11296906227952107,0.004674767880669506
few1,hydraulic,17,hydraulic:segment-1799:day-0,24,0.10974426278379994,0.11396342287832875,0.004219160094528815
